"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"de Carvalho T.S.; Brasil A.; Leão L.K.R.; Braga D.V.; Santos-Silva M.; Assad N.; Luz W.L.; Batista E.J.O.; Bastos G.N.T.; Oliveira K.R.M.H.; Diniz D.L.W.P.; Herculano A.M.","de Carvalho, Tayana Silva (56884170500); Brasil, Alódia (55971897700); Leão, Luana K. R. (49863477800); Braga, Danielle Valente (57205126342); Santos-Silva, Mateus (57211668818); Assad, Nadyme (57211667252); Luz, Waldo Lucas (57205571240); Batista, Evander de Jesus O. (54899242700); Bastos, Gilmara de Nazareth Tavares (24464061900); Oliveira, Karen Renata Matos Herculano (26321749600); Diniz, Domingos Luiz Wanderley Picanço (57214034341); Herculano, Anderson Manoel (8230111200)","56884170500; 55971897700; 49863477800; 57205126342; 57211668818; 57211667252; 57205571240; 54899242700; 24464061900; 26321749600; 57214034341; 8230111200","Açaí (Euterpe oleracea) pulp-enriched diet induces anxiolytic-like effects and improves memory retention","2022","Food and Nutrition Research","66","","8851","","","","4","10.29219/fnr.v66.8851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141185737&doi=10.29219%2ffnr.v66.8851&partnerID=40&md5=a320dbcd305c38a8f30bffa142108e58","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85141185737"
"Mendes Á.G.R.; de Sousa G.G.V.; França M.D.S.; de Carvalho C.A.M.; Batista E.D.J.O.; Passos A.D.C.F.; Oliveira K.R.H.M.; Herculano A.M.; de Moraes S.A.S.","Mendes, Áurea Gabriela Rodrigues (57222987894); de Sousa, Gabriel Gomes Vilar (57222994539); França, Martha de Souza (57222982570); de Carvalho, Carlos Alberto Marques (35309526000); Batista, Evander de Jesus Oliveira (54899242700); Passos, Adelaide da Conceição Fonseca (57196356505); Oliveira, Karen Renata Herculano Matos (26321749600); Herculano, Anderson Manoel (8230111200); de Moraes, Suellen Alessandra Soares (55783002300)","57222987894; 57222994539; 57222982570; 35309526000; 54899242700; 57196356505; 26321749600; 8230111200; 55783002300","Astrocyte reactivity in spinal cord and functional impairment after tendon injury in rats","2021","Heliyon","7","4","e06845","","","","4","10.1016/j.heliyon.2021.e06845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104296038&doi=10.1016%2fj.heliyon.2021.e06845&partnerID=40&md5=93b699db1da81631d8286832f2b8a2ea","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104296038"
"Moraes S.A.S.; Oliveira K.R.M.; Crespo-López M.E.; Picanço-Diniz D.L.W.; Herculano A.M.","Moraes, Suellen A. S. (59454644600); Oliveira, Karen R. M. (26321749600); Crespo-López, Maria E. (8230111500); Picanço-Diniz, Domingos L. W. (6603596431); Herculano, Anderson M. (8230111200)","59454644600; 26321749600; 8230111500; 6603596431; 8230111200","Local NO synthase inhibition produces histological and functional recovery in Achilles tendon of rats after tenotomy: Tendon repair and local NOS inhibition","2013","Cell and Tissue Research","353","3","","457","463","6","11","10.1007/s00441-013-1662-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883251646&doi=10.1007%2fs00441-013-1662-2&partnerID=40&md5=9e75acc38d144b0018533c2323342d59","Article","Final","","Scopus","2-s2.0-84883251646"
"Almeida M.B.; Costa-Malaquias A.; Nascimento J.L.M.; Oliveira K.R.; Herculano A.M.; Crespo-López M.E.","Almeida, M.B. (45761003500); Costa-Malaquias, A. (56152841900); Nascimento, J.L.M. (7004473713); Oliveira, K.R. (26321749600); Herculano, A.M. (8230111200); Crespo-López, M.E. (8230111500)","45761003500; 56152841900; 7004473713; 26321749600; 8230111200; 8230111500","Therapeutic concentration of morphine reduces oxidative stress in glioma cell line","2014","Brazilian Journal of Medical and Biological Research","47","5","","398","402","4","29","10.1590/1414-431X20143697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900006489&doi=10.1590%2f1414-431X20143697&partnerID=40&md5=67dc52cc735126b164af4147e4f669c5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84900006489"
"Moura M.V.N.; Mesquita da Conceição Bahia G.; Gonçalves Correa M.; Araujo Sarges M.A.; Lobão T.A.; Sanches E.M.; Oliveira K.R.H.M.; Herculano A.M.; Bahia C.P.","Moura, Maria Vitoria Nava (58707572200); Mesquita da Conceição Bahia, Gabriel (58614382800); Gonçalves Correa, Marcio (58614087000); Araujo Sarges, Maíza Amanda (58613942100); Lobão, Thaís Alves (58613942200); Sanches, Erica Miranda (57191479013); Oliveira, Karen R. H. Matos (26321749600); Herculano, Anderson Manoel (8230111200); Bahia, Carlomagno Pacheco (6505851168)","58707572200; 58614382800; 58614087000; 58613942100; 58613942200; 57191479013; 26321749600; 8230111200; 6505851168","Neuroprotective effects of crude extracts, compounds, and isolated molecules obtained from plants in the central nervous system injuries: a systematic review","2023","Frontiers in Neuroscience","17","","1249685","","","","12","10.3389/fnins.2023.1249685","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171998315&doi=10.3389%2ffnins.2023.1249685&partnerID=40&md5=8148f0575e9be7c6831cf84a7d8e9260","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85171998315"
"Lima M.G.; Silva R.X.C.; Silva S.N.S.; Rodrigues L.S.S.; Oliveira K.R.H.M.; Batista E.J.O.; Maximino C.; Herculano A.M.","Lima, Monica Gomes (24461827200); Silva, Rhayra Xavier do Carmo (56797324300); Silva, Suéllen de Nazaré dos Santos (56797401000); Rodrigues, Lais do Socorro dos Santos (56883818400); Oliveira, Karen Renata Herculano Matos (26321749600); Batista, Evander de Jesus Oliveira (54899242700); Maximino, Caio (24776595300); Herculano, Anderson Manoel (8230111200)","24461827200; 56797324300; 56797401000; 56883818400; 26321749600; 54899242700; 24776595300; 8230111200","Time-dependent sensitization of stress responses in zebrafish: A putative model for post-traumatic stress disorder","2016","Behavioural Processes","128","","","70","82","12","38","10.1016/j.beproc.2016.04.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963954980&doi=10.1016%2fj.beproc.2016.04.009&partnerID=40&md5=576a556fa33a3f1792c1993d8910303f","Article","Final","","Scopus","2-s2.0-84963954980"
"Freitas H.R.; Ferraz G.; Ferreira G.C.; Ribeiro-Resende V.T.; Chiarini L.B.; Nascimento J.L.M.D.; Oliveira K.R.H.M.; De Pereira T.L.; Ferreira L.G.B.; Kubrusly R.C.; Faria R.X.; Herculano A.M.; De Melo Reis R.A.","Freitas, Hercules R. (56865705900); Ferraz, Gabriel (57188868677); Ferreira, Gustavo C. (55466450500); Ribeiro-Resende, Victor T. (16426467000); Chiarini, Luciana B. (7004169683); Nascimento, José Luiz M. Do (7004473713); Oliveira, Karen Renata H. Matos (26321749600); De Pereira, Tiago Lima (57188863895); Ferreira, Leonardo G. B. (55503891200); Kubrusly, Regina C. (6507327252); Faria, Robson X. (15757110700); Herculano, Anderson Manoel (8230111200); De Melo Reis, Ricardo A. (35566644600)","56865705900; 57188868677; 55466450500; 16426467000; 7004169683; 7004473713; 26321749600; 57188863895; 55503891200; 6507327252; 15757110700; 8230111200; 35566644600","Glutathione-induced calcium shifts in chick retinal glial cells","2016","PLoS ONE","11","4","e0153677","","","","35","10.1371/journal.pone.0153677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963959830&doi=10.1371%2fjournal.pone.0153677&partnerID=40&md5=30f09822eae36f71fb7523333bc53c76","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84963959830"
"Garcia T.B.; Oliveira K.R.M.; Do Nascimento J.L.M.; Crespo-López M.E.; Picanço-Diniz D.L.W.; Mota T.C.; Herculano A.M.","Garcia, T.B. (56351993100); Oliveira, K.R.M. (26321749600); Do Nascimento, J.L.M. (7004473713); Crespo-López, M.E. (8230111500); Picanço-Diniz, D.L.W. (6603596431); Mota, T.C. (54883509600); Herculano, A.M. (8230111200)","56351993100; 26321749600; 7004473713; 8230111500; 6603596431; 54883509600; 8230111200","Glutamate induces glutathione efflux mediated by glutamate/aspartate transporter in retinal cell cultures","2011","Neurochemical Research","36","3","","412","418","6","10","10.1007/s11064-010-0356-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954423677&doi=10.1007%2fs11064-010-0356-3&partnerID=40&md5=24a3950c094b6e4bddb0d3bdf565d0e8","Article","Final","","Scopus","2-s2.0-79954423677"
"Maximino C.; Gemaque J.; Benzecry R.; Lima M.G.; Batista E.D.J.O.; Picanço-Diniz D.W.; Oliveira K.R.M.; Herculano A.M.","Maximino, Caio (24776595300); Gemaque, Julliany (56436736700); Benzecry, Rancés (55507993000); Lima, Monica Gomes (24461827200); Batista, Evander De Jesus Oliveira (54899242700); Picanço-Diniz, Domingos Wanderley (6603596431); Oliveira, Karen Renata Matos (26321749600); Herculano, Anderson Manoel (8230111200)","24776595300; 56436736700; 55507993000; 24461827200; 54899242700; 6603596431; 26321749600; 8230111200","Role of nitric oxide in the behavioral and neurochemical effects of IB-MECA in zebrafish","2015","Psychopharmacology","232","10","","1671","1680","9","7","10.1007/s00213-014-3799-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940006442&doi=10.1007%2fs00213-014-3799-4&partnerID=40&md5=f33edc339f9f07eef21e2c39fa5a741b","Article","Final","","Scopus","2-s2.0-84940006442"
"Lima M.G.; Maximino C.; Matos Oliveira K.R.; Brasil A.; Crespo-Lopez M.E.; Batista E.D.J.O.; Rocha F.A.D.F.; Picanço-Diniz D.L.W.; Herculano A.M.","Lima, Monica Gomes (24461827200); Maximino, Caio (24776595300); Matos Oliveira, Karen Renata (26321749600); Brasil, Alódia (55971897700); Crespo-Lopez, Maria Elena (8230111500); Batista, Evander De Jesus Oliveira (54899242700); Rocha, Fernando Allan De Farias (16231200100); Picanço-Diniz, Domingos Luiz Wanderley (6603596431); Herculano, Anderson Manoel (8230111200)","24461827200; 24776595300; 26321749600; 55971897700; 8230111500; 54899242700; 16231200100; 6603596431; 8230111200","Nitric oxide as a regulatory molecule in the processing of the visual stimulus","2014","Nitric Oxide - Biology and Chemistry","36","","","44","50","6","18","10.1016/j.niox.2013.10.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890817061&doi=10.1016%2fj.niox.2013.10.011&partnerID=40&md5=8c19db1a5596757870d039c4e45ab519","Review","Final","","Scopus","2-s2.0-84890817061"
"Moraes E.R.S.; Grisolia A.B.A.; Oliveira K.R.M.; Picanço-Diniz D.L.W.; Crespo-López M.E.; Maximino C.; Batista E.J.O.; Herculano A.M.","Moraes, Edinaldo Rogério da Silva (55387949500); Grisolia, Alan Barroso Araújo (49863403400); Oliveira, Karen Renata Matos (26321749600); Picanço-Diniz, Domingos Luiz Wanderley (6603596431); Crespo-López, Maria Elena (8230111500); Maximino, Caio (24776595300); Batista, Evander de Jesus Oliveira (54899242700); Herculano, Anderson Manoel (8230111200)","55387949500; 49863403400; 26321749600; 6603596431; 8230111500; 24776595300; 54899242700; 8230111200","Determination of glutamate uptake by high performance liquid chromatography (HPLC) in preparations of retinal tissue","2012","Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences","907","","","1","6","5","22","10.1016/j.jchromb.2012.07.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867404272&doi=10.1016%2fj.jchromb.2012.07.027&partnerID=40&md5=947e28ab2a4d0a5cd11760629c8bd2dd","Article","Final","","Scopus","2-s2.0-84867404272"
"do Nascimento J.L.M.; Oliveira K.R.M.; Crespo-Lopez M.E.; Macchi B.M.; Maués L.A.L.; Pinheiro M. da C.N.; Silveira L.C.L.; Herculano A.M.","do Nascimento, José Luiz Martins (7004473713); Oliveira, Karen Renata M. (26321749600); Crespo-Lopez, Maria Elena (8230111500); Macchi, Barbarella M. (24067354900); Maués, Luís Antônio L. (26321753100); Pinheiro, Maria da Conceição N. (7101819165); Silveira, Luiz Carlos L. (35577484500); Herculano, Anderson Manoel (8230111200)","7004473713; 26321749600; 8230111500; 24067354900; 26321753100; 7101819165; 35577484500; 8230111200","Methylmercury neurotoxicity & antioxidant defenses","2008","Indian Journal of Medical Research","128","4","","373","382","9","88","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61849085727&partnerID=40&md5=22da98923809bde362bc650a278fa8ea","Review","Final","","Scopus","2-s2.0-61849085727"
"Martins L.C.; Silva M.D.S.; Pinheiro E.F.; da Penha L.K.R.L.; Passos A.D.C.F.; de Moraes S.A.S.; Batista E.D.J.O.; Herculano A.M.; Oliveira K.R.H.M.","Martins, Luana Carvalho (58186079900); Silva, Mateus dos Santos (58186080000); Pinheiro, Emerson Feio (58185912700); da Penha, Luana Ketlen Reis Leão (57278333000); Passos, Adelaide da Conceição Fonseca (57196356505); de Moraes, Suellen Alessandra Soares (55783002300); Batista, Evander de Jesus Oliveira (54899242700); Herculano, Anderson Manoel (8230111200); Oliveira, Karen Renata Herculano Matos (26321749600)","58186079900; 58186080000; 58185912700; 57278333000; 57196356505; 55783002300; 54899242700; 8230111200; 26321749600","Cochlear glial cells mediate glutamate uptake through a sodium-independent transporter","2023","Hearing Research","432","","108753","","","","0","10.1016/j.heares.2023.108753","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152669422&doi=10.1016%2fj.heares.2023.108753&partnerID=40&md5=243c5d15fb37f47bc73b491df0f010b0","Article","Final","","Scopus","2-s2.0-85152669422"
"da Veiga A.A.S.; de Jesus Chaves Neto A.M.; da Silva A.B.F.; Herculano A.M.; Oliveira K.R.M.; dos Santos Borges R.","da Veiga, Andrex Augusto Silva (57200687442); de Jesus Chaves Neto, Antonio Maia (54971682100); da Silva, Albérico Borges Ferreira (7402942493); Herculano, Anderson Manoel (8230111200); Oliveira, Karen Renata Matos (26321749600); dos Santos Borges, Rosivaldo (7005086504)","57200687442; 54971682100; 7402942493; 8230111200; 26321749600; 7005086504","Sugar moiety has a synergistic effect on hydroxylated xanthone for better antioxidant activity of mangiferin","2018","Medicinal Chemistry Research","27","4","","1276","1282","6","15","10.1007/s00044-018-2147-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042175491&doi=10.1007%2fs00044-018-2147-3&partnerID=40&md5=c525334c7561f2950194d79c1fedfdf4","Article","Final","","Scopus","2-s2.0-85042175491"
"Oliveira K.R.H.M.; Kauffmann N.; Leão L.K.R.; Passos A.C.F.; Rocha F.A.F.; Herculano A.M.; Do Nascimento J.L.M.","Oliveira, Karen R. H. M. (26321749600); Kauffmann, Nayara (57196355861); Leão, Luana K. R. (49863477800); Passos, Adelaide C. F. (57196356505); Rocha, Fernando A. F. (16231200100); Herculano, Anderson M. (8230111200); Do Nascimento, José L. M. (7004473713)","26321749600; 57196355861; 49863477800; 57196356505; 16231200100; 8230111200; 7004473713","Cerebral malaria induces electrophysiological and neurochemical impairment in mice retinal tissue: Possible effect on glutathione and glutamatergic system","2017","Malaria Journal","16","1","440","","","","12","10.1186/s12936-017-2083-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032735077&doi=10.1186%2fs12936-017-2083-6&partnerID=40&md5=4b4e0b75914fe64332d5e521e3b0244e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85032735077"
"Maximino C.; Puty B.; Matos Oliveira K.R.; Herculano A.M.","Maximino, C. (24776595300); Puty, B. (55745485700); Matos Oliveira, K.R. (26321749600); Herculano, A.M. (8230111200)","24776595300; 55745485700; 26321749600; 8230111200","Behavioral and neurochemical changes in the zebrafish leopard strain","2013","Genes, Brain and Behavior","12","5","","576","582","6","73","10.1111/gbb.12047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879602709&doi=10.1111%2fgbb.12047&partnerID=40&md5=5e5e1d32671167b9bbb1fab23bf9cc90","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84879602709"
"Assad N.; Luz W.L.; Santos-Silva M.; Carvalho T.; Moraes S.; Picanço-Diniz D.L.W.; Bahia C.P.; Oliveira Batista E.J.; da Conceição Passos A.; Oliveira K.R.H.M.; Herculano A.M.","Assad, Nadyme (57211667252); Luz, Waldo Lucas (57205571240); Santos-Silva, Mateus (57211668818); Carvalho, Tayana (56884170500); Moraes, Suellen (59454644600); Picanço-Diniz, Domingos Luiz Wanderley (6603596431); Bahia, Carlomagno Pacheco (6505851168); Oliveira Batista, Evander de Jesus (57215937823); da Conceição Passos, Adelaide (57215935983); Oliveira, Karen Renata Herculano Matos (26321749600); Herculano, Anderson Manoel (8230111200)","57211667252; 57205571240; 57211668818; 56884170500; 59454644600; 6603596431; 6505851168; 57215937823; 57215935983; 26321749600; 8230111200","Acute Restraint Stress Evokes Anxiety-Like Behavior Mediated by Telencephalic Inactivation and GabAergic Dysfunction in Zebrafish Brains","2020","Scientific Reports","10","1","5551","","","","35","10.1038/s41598-020-62077-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082423571&doi=10.1038%2fs41598-020-62077-w&partnerID=40&md5=06137aa5da2c5b48ebc7d9592c234e43","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85082423571"
